Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EngagementScore,TimeSinceLastPromotion,JobSatisfaction,OvertimeHours,BurnoutRisk,CommuteTime,FlexibleWorkEligibility,SkillDemandScore,DiversityIndex,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionRiskIndex
45,No,Travel_Frequently,1256,Research & Development,10,87,6,3,10,70,90,Yes,3,0.6752212670675934,1,Human Resources,1,11,2,Male,78,4,4,Manager,Married,6323.0,23229,8,Y,No,17,3,2,40,1,12,4,2,10,4,1,6,7.926890756302521
24,Yes,Travel_Frequently,1117,Human Resources,17,69,5,1,3,27,83,No,1,0.9693320769464736,3,Other,1,12,3,Male,36,3,2,Laboratory Technician,Divorced,18620.0,19396,7,Y,Yes,16,1,3,40,1,5,4,1,17,0,6,5,16.70924369747899
43,No,Travel_Rarely,149,Research & Development,23,82,9,1,0,86,45,No,4,0.5738393857648088,2,Human Resources,1,13,4,Female,87,1,2,Manager,Divorced,5214.0,12854,5,Y,No,15,1,2,40,2,23,1,1,9,6,0,9,10.91344537815126
23,Yes,Travel_Rarely,1057,Sales,20,88,5,2,20,34,113,No,3,0.23577402030378825,2,Human Resources,1,14,1,Female,38,1,3,Research Scientist,Married,3940.0,11993,1,Y,Yes,15,1,3,40,3,23,1,2,18,3,3,4,7.284873949579832
45,Yes,Travel_Frequently,794,Research & Development,13,32,4,3,5,87,14,No,4,0.49886229701447643,2,Other,1,15,3,Female,20,2,2,Human Resources,Single,9805.0,18686,7,Y,No,24,2,1,40,3,16,1,3,16,4,3,3,2.335294117647059
51,No,Travel_Rarely,125,Sales,22,92,3,4,22,36,60,Yes,1,0.3432549835800102,3,Medical,1,16,4,Male,46,4,3,Sales Executive,Single,13933.0,24626,9,Y,No,24,2,1,40,3,21,2,4,7,4,6,3,4.751260504201682
59,No,Travel_Frequently,749,Sales,9,65,2,1,15,91,57,No,3,0.7532353902672044,3,Human Resources,1,17,1,Male,90,4,2,Human Resources,Single,10932.0,22161,7,Y,No,13,1,4,40,3,10,2,1,16,8,3,4,18.043697478991596
23,No,Travel_Rarely,110,Research & Development,15,69,6,1,9,9,36,No,2,0.4367754288755335,4,Human Resources,1,18,4,Female,91,4,3,Human Resources,Divorced,16702.0,14977,9,Y,No,19,4,3,40,1,0,1,4,3,5,6,10,16.790756302521007
42,No,Travel_Rarely,907,Sales,13,35,4,3,10,25,68,No,2,0.5755722553188223,3,Technical Degree,1,19,2,Male,42,3,2,Research Scientist,Single,,19906,6,Y,No,11,1,2,40,3,24,1,1,15,0,0,0,33.47142857142857
54,No,Non-Travel,1225,Research & Development,13,43,1,4,27,78,63,Yes,4,0.9475093576315126,3,Life Sciences,1,20,4,Female,34,2,4,Manager,Divorced,18011.0,22836,8,Y,No,20,1,4,40,3,34,0,4,13,4,10,2,28.858823529411765
33,No,Travel_Rarely,110,Sales,13,62,2,2,15,18,37,No,3,0.9940122912273638,4,Marketing,1,21,1,Female,52,4,1,Research Scientist,Single,2447.0,12133,2,Y,No,14,2,3,40,2,33,0,3,17,1,10,9,19.49327731092437
43,Yes,Travel_Frequently,1235,Research & Development,25,48,4,4,8,71,77,Yes,4,0.6279770177404437,2,Other,1,22,4,Female,11,4,3,Laboratory Technician,Divorced,12074.0,23166,9,Y,No,19,3,2,40,2,20,0,1,11,7,12,4,26.994117647058825
46,Yes,Travel_Rarely,871,Sales,25,72,8,1,11,27,80,No,1,0.42030221887833075,3,Marketing,1,23,2,Male,97,4,4,Human Resources,Divorced,6604.0,13930,8,Y,Yes,19,2,1,40,2,21,2,4,6,6,8,0,15.801680672268906
48,Yes,Travel_Rarely,869,Human Resources,21,83,5,1,19,9,17,No,2,0.5515632546988405,3,Other,1,24,2,Male,54,2,2,Laboratory Technician,Single,15070.0,12549,2,Y,Yes,19,1,4,40,1,24,2,1,10,6,5,4,9.542857142857143
49,No,Travel_Rarely,1072,Sales,4,90,1,1,16,76,24,No,1,0.9002712765061678,1,Medical,1,25,2,Male,15,3,1,Laboratory Technician,Married,2901.0,10836,7,Y,No,19,4,4,40,3,1,2,4,8,9,3,7,5.260504201680672
37,Yes,Travel_Rarely,1290,Human Resources,22,39,7,2,19,94,114,No,3,0.3904957938755084,1,Other,1,26,2,Female,48,3,2,Human Resources,Single,,15983,5,Y,Yes,12,1,1,40,1,17,2,3,5,4,13,3,30.68739495798319
36,No,Travel_Rarely,506,Sales,10,71,5,1,10,47,38,Yes,1,0.2500482075623287,3,Life Sciences,1,27,3,Male,76,2,4,Sales Executive,Divorced,4163.0,22291,2,Y,No,22,3,2,40,2,18,1,1,0,3,8,7,15.59579831932773
24,No,Travel_Rarely,1168,Research & Development,15,47,5,4,22,82,112,Yes,2,0.8543564776792179,3,Human Resources,1,28,2,Male,80,4,4,Manager,Married,6991.0,20817,2,Y,No,22,3,4,40,3,23,2,3,18,9,2,0,27.78235294117647
58,Yes,Travel_Rarely,941,Research & Development,21,44,7,1,0,96,82,Yes,3,0.6239241100593774,1,Life Sciences,1,29,3,Female,95,3,3,Sales Executive,Married,10346.0,23576,8,Y,Yes,21,2,3,40,0,8,4,1,6,7,6,5,4.606722689075631
28,No,Travel_Frequently,816,Sales,28,77,6,4,28,14,29,No,4,0.9175365965207297,1,Medical,1,30,4,Male,85,1,1,Laboratory Technician,Single,18368.0,21163,5,Y,No,21,4,3,40,3,4,2,1,10,3,0,10,12.77310924369748
42,Yes,Travel_Rarely,458,Research & Development,10,65,4,1,24,74,74,No,3,0.7482666345084448,4,Technical Degree,1,31,3,Male,54,1,2,Human Resources,Single,6430.0,15460,7,Y,Yes,16,4,2,40,0,6,2,1,13,8,7,10,18.48655462184874
30,No,Travel_Frequently,653,Sales,21,74,8,2,5,84,16,Yes,1,0.22838969598344727,2,Human Resources,1,32,1,Male,42,3,1,Laboratory Technician,Divorced,5406.0,22312,2,Y,No,18,3,2,40,0,34,1,4,9,6,7,2,14.640336134453781
39,Yes,Travel_Rarely,384,Sales,8,34,0,3,9,76,43,Yes,3,0.8298329049704298,1,Marketing,1,33,2,Female,82,3,1,Human Resources,Married,5416.0,18938,0,Y,No,12,1,2,40,3,25,3,2,10,9,8,1,30.60840336134454
25,Yes,Travel_Rarely,499,Research & Development,10,38,3,1,7,59,19,No,1,0.3526508968732115,2,Human Resources,1,34,1,Female,36,1,3,Research Scientist,Married,3457.0,22844,8,Y,Yes,11,1,2,40,3,19,3,2,1,4,1,6,31.64789915966387
46,No,Travel_Frequently,487,Human Resources,21,75,9,3,21,34,114,Yes,1,0.3014082032513603,3,Medical,1,35,4,Male,79,1,4,Human Resources,Married,17865.0,10920,1,Y,No,17,2,4,40,0,30,1,1,0,1,9,7,14.587394957983195
35,Yes,Travel_Rarely,1479,Research & Development,17,46,8,1,13,48,57,No,1,0.6499075991809,2,Life Sciences,1,36,3,Female,30,3,2,Manager,Single,10498.0,22066,7,Y,Yes,24,3,2,40,3,35,2,1,8,0,5,4,28.7436974789916
30,No,Travel_Rarely,883,Research & Development,5,96,1,4,22,69,79,Yes,1,0.5525487785971352,3,Technical Degree,1,37,1,Female,71,1,2,Sales Executive,Single,,16565,6,Y,No,21,3,1,40,1,32,4,2,3,5,1,7,2.3991596638655466
47,No,Travel_Rarely,524,Research & Development,13,62,2,4,18,30,34,No,2,0.44138639243291033,3,Human Resources,1,38,2,Male,50,2,3,Human Resources,Single,18920.0,16753,0,Y,No,13,4,1,40,1,18,0,4,16,6,13,3,19.485714285714284
23,No,Travel_Frequently,1129,Research & Development,21,94,2,3,23,1,85,Yes,2,0.6709151708665337,3,Medical,1,39,2,Female,25,3,3,Human Resources,Single,15571.0,11312,3,Y,No,18,2,2,40,3,33,4,2,14,2,2,0,3.6142857142857143
41,No,Travel_Frequently,540,Human Resources,21,49,5,4,20,26,113,No,1,0.7945836087128623,1,Medical,1,40,1,Male,29,1,1,Manager,Married,2349.0,20636,4,Y,No,21,4,1,40,1,7,4,1,16,3,8,2,26.784873949579833
49,Yes,Travel_Rarely,455,Research & Development,28,95,2,1,6,71,50,No,1,0.5946836627918256,1,Life Sciences,1,41,4,Female,12,3,2,Research Scientist,Single,8480.0,17244,6,Y,Yes,24,3,4,40,3,34,2,2,10,3,13,11,3.026050420168067
28,No,Travel_Rarely,1018,Sales,19,45,2,2,6,7,112,Yes,2,0.8304888616153105,4,Other,1,42,3,Female,25,3,3,Research Scientist,Married,4430.0,24972,7,Y,No,20,2,4,40,3,16,4,4,13,2,1,4,28.182352941176468
29,No,Travel_Frequently,864,Sales,12,43,4,4,5,5,87,Yes,2,0.5348753210424817,2,Other,1,43,4,Female,85,1,3,Manager,Divorced,2724.0,21352,5,Y,No,15,4,1,40,0,11,3,4,11,1,11,1,29.51932773109244
56,Yes,Travel_Rarely,653,Sales,12,30,2,1,18,84,20,No,4,0.5990760639756169,4,Technical Degree,1,44,3,Female,91,1,1,Manager,Single,19729.0,11747,4,Y,Yes,24,1,1,40,3,33,2,3,2,3,14,5,35.450420168067225
35,Yes,Travel_Rarely,367,Research & Development,25,64,4,2,10,64,21,No,2,0.6355271142339394,4,Medical,1,45,1,Female,98,4,2,Laboratory Technician,Divorced,9074.0,13144,9,Y,Yes,18,2,1,40,2,31,3,4,0,8,12,5,18.85294117647059
38,No,Travel_Rarely,1091,Human Resources,21,30,2,3,0,92,92,Yes,2,0.4523669566970254,3,Human Resources,1,46,1,Male,27,2,3,Laboratory Technician,Single,17895.0,24719,3,Y,No,11,3,4,40,0,16,0,4,17,0,1,10,35.63193277310924
57,Yes,Travel_Rarely,1340,Research & Development,28,44,1,1,5,86,51,Yes,1,0.49076066139120783,2,Technical Degree,1,47,1,Female,97,4,1,Research Scientist,Single,,24093,6,Y,Yes,11,3,2,40,1,32,3,2,0,8,3,6,14.328571428571427
25,No,Travel_Rarely,163,Human Resources,2,98,7,1,12,8,101,No,3,0.6092217470638925,1,Medical,1,48,1,Female,29,4,3,Sales Executive,Married,4560.0,21621,1,Y,No,18,1,2,40,3,39,2,4,5,5,7,7,2.654621848739496
23,Yes,Travel_Frequently,541,Sales,21,84,2,1,24,47,62,No,2,0.9066829643393712,1,Technical Degree,1,49,2,Male,39,1,1,Human Resources,Single,12554.0,22818,3,Y,Yes,17,2,1,40,3,29,1,4,0,1,12,9,8.556302521008403
27,No,Travel_Rarely,640,Research & Development,9,45,5,2,17,80,92,Yes,1,0.6402742074746932,2,Life Sciences,1,50,4,Female,99,3,3,Research Scientist,Single,5836.0,16187,6,Y,No,20,2,3,40,3,14,2,1,16,0,13,11,28.731932773109243
25,Yes,Travel_Rarely,1398,Research & Development,30,42,1,4,1,80,38,No,3,0.28692598139398634,3,Medical,1,51,2,Male,25,3,4,Sales Executive,Single,6035.0,18830,1,Y,No,10,2,2,40,1,26,1,2,9,4,11,4,2.2957983193277314
50,No,Non-Travel,569,Sales,24,92,0,3,25,48,54,Yes,2,0.7847742368767033,2,Other,1,52,3,Male,33,3,2,Sales Executive,Single,17302.0,12775,0,Y,No,18,2,3,40,3,1,0,1,17,6,5,3,4.136134453781513
39,No,Travel_Rarely,1339,Research & Development,22,51,7,3,16,70,108,No,2,0.6130711438752173,1,Life Sciences,1,53,4,Female,10,3,3,Manager,Divorced,8821.0,15525,9,Y,No,12,2,2,40,3,21,2,4,12,8,2,6,26.172268907563023
47,Yes,Travel_Rarely,977,Sales,25,34,2,1,16,98,32,No,2,0.519562660651025,4,Life Sciences,1,54,4,Female,48,3,2,Research Scientist,Single,2989.0,10728,0,Y,Yes,20,4,3,40,3,4,2,3,16,5,13,4,7.980672268907563
55,No,Travel_Rarely,1317,Research & Development,23,81,1,1,1,77,69,No,4,0.753102614949412,1,Technical Degree,1,55,2,Female,49,1,1,Laboratory Technician,Divorced,17389.0,14220,5,Y,No,22,2,2,40,1,19,1,3,15,9,0,6,9.873949579831931
31,No,Travel_Frequently,811,Research & Development,2,56,1,4,0,66,89,No,4,0.3334387556227393,3,Medical,1,56,4,Male,83,4,1,Human Resources,Married,7265.0,20039,5,Y,No,20,3,3,40,3,35,1,1,6,0,8,9,22.42436974789916
57,Yes,Travel_Rarely,112,Research & Development,30,93,4,1,11,49,110,No,1,0.8282590461010383,3,Other,1,57,1,Female,44,1,3,Sales Executive,Single,17870.0,13269,5,Y,Yes,10,1,4,40,2,2,2,4,6,3,6,5,4.577310924369748
35,Yes,Travel_Rarely,321,Research & Development,1,41,5,2,27,80,69,No,1,0.7730881294407768,3,Human Resources,1,58,3,Male,72,4,4,Sales Executive,Divorced,6894.0,22866,1,Y,Yes,20,1,3,40,1,39,0,1,0,5,1,2,14.173949579831932
52,Yes,Non-Travel,980,Sales,14,96,1,1,11,63,30,Yes,3,0.34830345121753165,3,Other,1,59,2,Male,46,3,2,Human Resources,Married,,10043,9,Y,Yes,11,4,2,40,3,8,4,2,1,7,0,2,2.2756302521008407
36,No,Travel_Frequently,938,Sales,13,55,5,3,26,13,68,Yes,3,0.877109701290902,1,Medical,1,60,1,Male,22,2,3,Laboratory Technician,Divorced,,17470,7,Y,No,18,2,4,40,0,17,0,3,10,6,10,0,23.67142857142857
29,No,Travel_Frequently,851,Sales,3,42,0,3,28,83,49,No,4,0.35421474337238446,1,Technical Degree,1,61,2,Female,78,3,1,Research Scientist,Married,,22094,5,Y,No,18,4,2,40,3,6,3,4,4,2,12,10,29.123529411764707
35,No,Travel_Rarely,369,Sales,27,59,8,3,21,33,10,No,1,0.7419571941055143,3,Medical,1,62,3,Male,57,3,3,Human Resources,Single,11417.0,13167,0,Y,No,11,1,4,40,1,21,2,2,18,7,3,5,22.125210084033615
44,No,Travel_Rarely,1421,Research & Development,20,59,3,3,4,25,119,No,1,0.49430709779363735,4,Marketing,1,63,1,Male,98,2,4,Manager,Single,6763.0,24598,7,Y,No,19,4,2,40,0,38,2,3,14,6,3,11,21.400000000000002
42,Yes,Travel_Rarely,831,Sales,25,33,4,4,23,76,110,No,2,0.8045286738375638,1,Other,1,64,2,Male,61,2,2,Manager,Divorced,18849.0,19053,5,Y,No,13,4,1,40,3,17,4,1,10,0,12,0,14.57731092436975
37,Yes,Travel_Rarely,943,Research & Development,5,77,2,2,15,29,34,No,4,0.24639963397500333,4,Medical,1,65,2,Female,73,3,2,Sales Executive,Divorced,11803.0,21431,0,Y,Yes,24,1,4,40,3,5,1,3,7,5,12,0,11.985714285714286
39,Yes,Travel_Frequently,715,Sales,2,38,5,1,15,37,25,No,2,0.39985959065103993,1,Other,1,66,1,Female,17,2,2,Research Scientist,Single,15211.0,18781,8,Y,Yes,17,3,4,40,3,2,0,2,11,1,9,6,32.063025210084035
45,Yes,Travel_Rarely,164,Sales,26,36,0,1,12,93,42,No,4,0.5763956043724011,3,Marketing,1,67,1,Male,23,4,1,Research Scientist,Married,10046.0,12950,3,Y,No,14,1,4,40,1,29,1,3,9,3,3,7,11.605882352941176
47,No,Travel_Frequently,1161,Sales,21,85,6,1,25,41,98,No,2,0.7717371590026645,4,Marketing,1,68,2,Female,68,1,2,Research Scientist,Single,4385.0,18846,2,Y,No,24,1,4,40,0,38,3,3,18,0,14,5,8.947058823529412
46,Yes,Travel_Rarely,127,Sales,29,34,7,3,6,76,31,No,4,0.6923449976259822,2,Medical,1,69,4,Male,13,4,1,Laboratory Technician,Divorced,9183.0,20740,2,Y,No,19,3,1,40,3,34,0,2,0,9,14,0,2.9781512605042018
50,No,Travel_Rarely,1412,Sales,18,35,2,4,11,87,76,Yes,2,0.9632275481519801,2,Marketing,1,70,4,Male,22,3,1,Laboratory Technician,Single,17594.0,10553,5,Y,No,24,2,4,40,2,16,4,2,7,2,4,10,33.09159663865546
36,Yes,Travel_Frequently,336,Sales,9,94,1,2,13,35,76,No,2,0.6472177920284747,1,Other,1,71,1,Male,11,3,3,Manager,Married,15734.0,20887,9,Y,Yes,20,4,3,40,0,5,2,2,9,8,4,10,3.3915966386554626
22,Yes,Travel_Rarely,1249,Sales,22,38,3,2,19,72,84,No,2,0.4414478475268231,3,Technical Degree,1,72,1,Male,88,2,3,Human Resources,Married,9844.0,12446,7,Y,No,24,1,4,40,2,28,2,1,10,1,9,4,2.811764705882353
46,No,Travel_Frequently,483,Sales,28,50,7,3,8,47,52,Yes,4,0.5469380347648861,3,Life Sciences,1,73,1,Female,90,1,4,Research Scientist,Married,13696.0,16699,6,Y,No,13,2,3,40,1,34,4,1,11,1,6,1,26.531092436974788
28,No,Non-Travel,425,Sales,28,59,7,3,10,62,61,Yes,2,0.2603588985759509,3,Life Sciences,1,74,1,Female,36,2,2,Manager,Single,6240.0,24991,6,Y,No,16,3,3,40,0,28,3,2,8,2,0,11,22.053781512605042
30,No,Travel_Rarely,184,Sales,12,86,7,3,10,18,72,No,4,0.29356875463857135,3,Life Sciences,1,75,4,Male,48,4,1,Manager,Married,13422.0,12245,9,Y,No,23,1,2,40,0,29,4,3,17,2,6,2,8.581512605042017
45,Yes,Travel_Rarely,848,Sales,5,39,1,2,19,93,14,No,2,0.614063666953546,1,Human Resources,1,76,4,Female,26,4,1,Research Scientist,Single,3580.0,11916,4,Y,Yes,16,1,3,40,0,8,0,1,5,5,8,3,8.235294117647058
22,Yes,Travel_Rarely,345,Sales,18,31,3,2,24,52,117,No,2,0.9805530455565645,2,Life Sciences,1,77,2,Male,74,1,3,Human Resources,Divorced,8258.0,10488,1,Y,Yes,23,1,2,40,0,27,3,4,17,6,3,11,35.39495798319328
29,No,Travel_Frequently,487,Research & Development,23,77,9,2,19,73,34,No,2,0.39562865552083964,4,Medical,1,78,2,Male,79,1,4,Human Resources,Divorced,2068.0,20576,6,Y,No,18,3,1,40,3,23,1,2,5,4,4,9,13.385714285714286
45,No,Travel_Rarely,1028,Sales,23,51,0,1,1,48,47,No,2,0.8217530207535262,3,Technical Degree,1,79,3,Female,31,3,1,Human Resources,Divorced,17282.0,16634,7,Y,No,21,4,1,40,0,34,4,3,18,0,14,1,24.618487394957985
32,No,Travel_Frequently,365,Research & Development,2,42,6,1,14,20,62,No,1,0.4932756084165437,2,Marketing,1,80,3,Female,12,1,1,Laboratory Technician,Married,12598.0,11553,0,Y,No,23,3,4,40,2,33,0,1,7,7,9,8,30.356302521008402
38,No,Travel_Rarely,860,Sales,10,72,9,1,17,88,25,No,2,0.22542815635636615,3,Marketing,1,81,4,Male,29,4,4,Human Resources,Single,18917.0,24690,8,Y,No,22,1,2,40,2,14,3,1,11,7,6,2,15.863025210084034
29,Yes,Travel_Frequently,903,Human Resources,22,39,5,1,28,87,105,No,3,0.3310957717091995,3,Medical,1,82,1,Female,28,3,1,Sales Executive,Single,8691.0,22032,4,Y,Yes,11,1,3,40,3,7,0,3,11,3,11,11,12.264705882352942
56,No,Travel_Frequently,1328,Sales,10,66,6,1,29,12,102,Yes,3,0.6972775252659805,2,Technical Degree,1,83,1,Male,26,1,3,Research Scientist,Married,7879.0,14372,1,Y,No,17,2,1,40,3,18,2,3,11,4,6,6,18.457142857142856
56,Yes,Travel_Rarely,327,Research & Development,26,47,9,4,21,74,79,No,1,0.3832231004879578,2,Technical Degree,1,84,3,Male,13,1,3,Research Scientist,Divorced,8220.0,15289,9,Y,No,12,2,2,40,1,2,0,2,8,5,2,0,19.999159663865548
54,No,Travel_Rarely,339,Sales,3,48,4,3,21,70,95,Yes,1,0.8811482572999582,4,Other,1,85,2,Female,45,2,4,Manager,Married,4700.0,13483,6,Y,No,13,3,3,40,3,3,2,4,2,3,0,8,27.03949579831933
26,No,Travel_Rarely,1196,Research & Development,24,57,5,4,22,94,82,No,1,0.4935336805877499,1,Marketing,1,86,2,Male,17,2,2,Manager,Divorced,19388.0,15014,4,Y,No,15,2,1,40,0,34,1,1,0,3,7,2,22.70672268907563
49,No,Travel_Rarely,487,Research & Development,14,86,5,4,28,70,19,No,4,0.3804842807739761,3,Technical Degree,1,87,4,Female,76,2,2,Research Scientist,Married,6821.0,23727,4,Y,No,24,2,4,40,3,37,2,4,15,2,0,0,8.047899159663865
28,Yes,Travel_Rarely,477,Sales,5,35,5,2,11,82,64,Yes,3,0.8231179009741119,4,Technical Degree,1,88,1,Male,93,1,4,Human Resources,Single,5846.0,15170,1,Y,No,17,2,4,40,2,35,2,1,17,0,14,5,6.161344537815126
30,No,Travel_Rarely,311,Sales,24,72,8,4,6,23,23,Yes,1,0.32708988488066437,2,Marketing,1,89,2,Male,38,4,1,Human Resources,Divorced,10995.0,18987,1,Y,No,18,4,2,40,1,16,2,1,13,2,5,1,15.65798319327731
29,No,Non-Travel,894,Human Resources,23,89,3,1,28,46,112,No,1,0.9622244749507728,1,Human Resources,1,90,4,Female,16,4,1,Manager,Divorced,8110.0,18091,6,Y,No,20,4,2,40,0,3,1,1,16,6,10,10,6.382352941176471
33,No,Non-Travel,775,Research & Development,30,39,1,3,11,7,93,Yes,2,0.39023709743957985,3,Other,1,91,2,Female,89,1,2,Sales Executive,Divorced,,14701,7,Y,No,21,4,3,40,3,8,4,4,12,2,9,10,30.934453781512605
55,No,Travel_Frequently,748,Research & Development,13,96,8,4,2,26,78,No,3,0.8522096482939583,1,Marketing,1,92,1,Male,84,2,1,Sales Executive,Single,2240.0,18911,9,Y,No,23,1,3,40,3,25,1,1,14,0,10,4,3.796638655462185
54,Yes,Travel_Rarely,270,Research & Development,27,53,9,2,9,67,80,No,3,0.613463139156366,4,Technical Degree,1,93,3,Female,51,1,4,Manager,Married,,24145,0,Y,Yes,24,1,3,40,3,38,4,4,10,2,1,6,25.501680672268908
44,No,Travel_Frequently,1275,Sales,24,73,6,4,22,57,113,Yes,1,0.7912956515884784,3,Marketing,1,94,4,Male,16,1,2,Sales Executive,Married,4371.0,18080,6,Y,No,13,2,2,40,0,17,1,2,2,6,7,2,14.984873949579832
45,Yes,Travel_Rarely,908,Research & Development,28,59,4,2,24,25,63,No,1,0.31035868359888713,4,Technical Degree,1,95,2,Male,18,4,2,Sales Executive,Divorced,4606.0,10658,1,Y,Yes,24,1,2,40,1,13,0,4,18,5,6,3,21.458823529411767
58,No,Travel_Rarely,203,Sales,17,74,5,1,8,67,65,No,3,0.36666406742581936,2,Technical Degree,1,96,4,Male,35,1,3,Manager,Single,6370.0,20482,7,Y,No,15,1,1,40,3,30,4,2,8,5,7,8,14.163865546218487
56,No,Travel_Rarely,1345,Research & Development,6,89,6,3,26,79,87,Yes,2,0.3585936715927693,1,Life Sciences,1,97,3,Female,27,2,4,Research Scientist,Divorced,11379.0,17168,7,Y,No,22,2,1,40,3,28,0,4,18,3,3,6,6.919327731092437
43,No,Travel_Rarely,1405,Research & Development,29,82,4,1,14,39,66,No,2,0.3074323616002699,4,Human Resources,1,98,1,Male,17,3,2,Manager,Married,13191.0,18474,9,Y,No,19,2,4,40,3,0,0,1,18,4,6,10,9.966386554621849
48,No,Travel_Rarely,471,Sales,29,54,4,1,29,68,24,Yes,3,0.41198827047368963,3,Human Resources,1,99,2,Male,98,4,4,Human Resources,Divorced,,18799,1,Y,No,21,3,2,40,0,34,2,3,17,2,2,0,23.860504201680673
56,Yes,Travel_Rarely,228,Research & Development,27,30,5,2,6,72,90,Yes,1,0.8719040341050978,1,Medical,1,100,2,Female,38,3,1,Laboratory Technician,Divorced,5745.0,13904,1,Y,No,24,4,3,40,0,28,1,4,8,5,9,5,34.726890756302524
22,No,Non-Travel,319,Sales,13,60,7,3,3,45,93,No,1,0.7980713035367563,3,Life Sciences,1,101,4,Male,47,1,2,Sales Executive,Divorced,2292.0,21275,0,Y,No,12,2,2,40,1,10,4,2,9,0,5,11,21.634453781512605
56,No,Travel_Rarely,1296,Sales,29,48,1,2,13,64,25,No,3,0.4451223217985496,3,Medical,1,102,3,Male,34,1,2,Manager,Divorced,,13557,8,Y,No,13,1,1,40,0,18,3,2,12,3,10,2,26.263025210084034
58,Yes,Non-Travel,571,Human Resources,12,47,9,4,23,75,114,Yes,3,0.49251059560220445,4,Life Sciences,1,103,4,Female,80,2,2,Manager,Divorced,19766.0,11413,2,Y,No,24,1,3,40,2,35,1,4,13,0,3,6,36.58739495798319
